gaming clip,student,batch,is gaming?,AvgTimrPerAction,Number of Context Changes,Number of Correct Actions,Minimum time between actions,Number of actions faster than average for clip,Number of duplicated inputs,Has 3 or more duplicated inputs,Number of help requests,Has 3 or more help requests,Number WrongActions,Number of consecutive help requests,Sum of frequency of wrong + frequency of consecutive help,Number of BUG,Number of actions slower than the global average action time (~13 seconds),Number of consecutive wrong in the same context,Help Request Rate,Count of short action (3 seconds or less),Number of Unique Input,Number of Blank Actions,Number of Hint_without_attempt,Avg_Time_Per_Incorrect_Actions
3254,N2oNLCndtam,8,N,15.6,5,2,2,3,1,0,0,0,1,0,0,2,2,0,0,1,4,4,0,66
3394,N2oNLCndtam,8,G,0.2,0,0,0,4,4,1,5,1,0,4,4,0,0,0,1,5,1,5,5,0
3493,N2oNLCndtam,8,G,13.2,5,5,1,3,0,0,0,0,0,0,0,0,2,0,0,1,5,4,0,38
3553,N2oNLCndtam,8,G,5.4,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,34.33
3571,N2oNLCndtam,8,G,25,4,3,6,4,1,0,1,0,1,0,0,0,3,0,0.2,0,4,3,0,0
3582,N2oNLCndtam,8,G,7.2,4,4,0,2,1,0,0,0,0,0,0,1,0,0,0,1,4,4,0,24
3598,N2oNLCndtam,8,G,1.4,1,0,0,4,4,1,1,0,0,0,0,4,0,0,0.2,4,1,5,0,11
3636,N2oNLCndtam,8,N,12.6,2,2,2,4,1,0,1,0,2,0,0,0,1,1,0.2,1,4,5,0,5
3706,N2oNLCndtam,8,N,5.6,4,5,0,4,0,0,0,0,0,0,0,0,1,0,0,2,5,4,0,0
3912,N2oNLCndtam,8,N,6.8,2,1,4,3,0,0,0,0,3,0,0,1,0,2,0,0,5,4,0,22
3964,N2oNLCndtam,8,N,4.8,4,3,2,3,0,0,0,0,0,0,0,2,0,0,0,1,5,3,0,0
4908,N2oNLCndtam,8,G,3.4,1,2,0,3,3,1,1,0,2,0,0,0,0,1,0.2,3,4,5,0,7
4959,N2oNLCndtam,8,G,23.2,3,2,11,4,0,0,0,0,1,0,0,2,3,0,0,0,5,5,0,0
5086,N2oNLCndtam,8,G,12.4,3,3,0,3,0,0,0,0,2,0,0,0,2,1,0,1,5,5,0,19
5100,N2oNLCndtam,8,G,15,5,4,2,4,1,0,0,0,1,0,0,0,1,0,0,3,4,5,0,17
5261,N2oNLCndtam,8,G,5.2,4,4,0,4,1,0,0,0,0,0,0,1,1,0,0,2,4,4,0,11
5295,N2oNLCndtam,8,N,3.6,1,1,0,3,3,1,0,0,4,0,0,0,0,2,0,3,3,5,0,0
5306,N2oNLCndtam,8,G,5.2,3,1,0,2,2,0,1,0,3,0,0,0,0,2,0.2,2,4,5,0,4
5455,N2oNLCndtam,8,N,11.4,4,5,0,4,1,0,0,0,0,0,0,0,1,0,0,2,5,5,0,0
5500,N2oNLCndtam,8,G,0.8,4,0,0,2,4,1,0,0,2,0,0,3,0,1,0,5,1,5,0,0.8
10200,N2oNLCndtam,8,N,18.4,4,3,2,4,1,0,1,0,1,0,0,0,1,0,0.2,1,4,3,0,0
10310,N2oNLCndtam,8,N,14.8,4,4,4,3,0,0,0,0,0,0,0,1,2,0,0,0,5,5,0,10
10355,N2oNLCndtam,8,G,5.6,4,2,1,3,2,0,0,0,3,0,0,0,0,1,0,2,3,5,0,48
10366,N2oNLCndtam,8,G,75.6,4,3,9,4,0,0,1,0,0,0,0,1,4,0,0.2,0,5,5,1,5.33
10377,N2oNLCndtam,8,N,28.2,4,4,4,4,0,0,1,0,0,0,0,0,2,0,0.2,0,5,4,1,70
10631,N2oNLCndtam,8,N,7.2,3,4,3,4,0,0,0,0,0,0,0,1,1,0,0,3,5,5,0,11.67
10719,N2oNLCndtam,8,G,11.2,5,5,3,3,0,0,0,0,0,0,0,0,2,0,0,1,5,3,0,52
11775,N46z59pQP58,2,N,17,4,4,7,4,0,0,0,0,0,0,0,1,2,0,0,0,5,5,0,9.33
11906,N46z59pQP58,2,G,5.4,1,0,0,2,1,0,1,0,4,0,0,0,0,3,0.2,1,4,5,0,0
12234,N46z59pQP58,2,N,22.4,1,5,0,3,1,0,0,0,0,0,0,0,2,0,0,1,5,5,0,10.5
12366,N46z59pQP58,2,N,13.8,5,5,-1,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,0
12573,N46z59pQP58,2,N,9.2,3,2,0,3,2,0,0,0,3,0,0,0,2,2,0,2,3,4,0,1
12586,N46z59pQP58,2,N,15.4,5,5,11,3,0,0,0,0,0,0,0,0,3,0,0,0,5,2,0,9.67
12607,N46z59pQP58,2,G,15.8,2,1,7,3,1,0,1,0,2,0,0,1,4,1,0.2,0,4,1,0,0
12686,N46z59pQP58,2,N,67.8,4,1,6,3,0,0,1,0,1,0,0,2,4,0,0.2,0,5,1,1,25.33
12747,N46z59pQP58,2,N,16,3,4,-1,3,1,0,0,0,1,0,0,0,2,1,0,0,4,1,0,24
12887,N46z59pQP58,2,N,11,4,5,0,3,0,0,0,0,0,0,0,0,2,0,0,1,5,4,0,0
13011,N46z59pQP58,2,N,30.8,4,4,8,3,0,0,0,0,0,0,0,1,3,0,0,0,5,3,0,9
13111,N46z59pQP58,2,N,12.2,4,4,1,3,0,0,0,0,1,0,0,0,2,0,0,1,5,3,0,0
13149,N46z59pQP58,2,N,8.2,4,5,0,3,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,15.33
13798,N46z59pQP58,2,G,17.2,5,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0
14046,N46z59pQP58,2,N,10.4,2,2,3,3,0,0,0,0,3,0,0,0,1,2,0,1,5,5,0,0
14184,N46z59pQP58,2,N,7.2,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,11
14201,N46z59pQP58,2,N,22.8,5,5,3,4,0,0,0,0,0,0,0,0,2,0,0,2,5,5,0,0
15448,N46z59pQP58,2,G,10.2,4,4,2,2,0,0,0,0,0,0,0,1,1,0,0,2,5,5,0,7
15463,N46z59pQP58,2,N,5,2,2,0,1,1,0,1,0,2,0,0,0,0,1,0.2,1,4,5,0,22
15480,N46z59pQP58,2,N,22.2,1,1,7,4,0,0,0,0,4,0,0,0,2,3,0,0,5,5,0,7.5
15647,N46z59pQP58,2,N,5.4,4,4,2,3,0,0,0,0,1,0,0,0,0,0,0,2,5,5,0,0
15734,N46z59pQP58,2,N,8.2,4,4,3,3,0,0,0,0,1,0,0,0,1,0,0,1,5,5,0,4
15746,N46z59pQP58,2,G,17.6,5,4,3,3,0,0,0,0,1,0,0,0,3,0,0,1,5,5,0,19
17242,N46z59pQP58,2,N,7.2,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,55
17414,N46z59pQP58,2,N,14.8,4,4,2,2,0,0,1,0,0,0,0,0,3,0,0.2,1,5,5,1,10
17587,N46z59pQP58,2,N,16,4,3,4,3,0,0,0,0,1,0,0,1,2,0,0,0,5,5,0,10
17604,N46z59pQP58,2,N,20.2,5,3,2,3,0,0,0,0,0,0,0,2,2,0,0,1,5,4,0,26
19076,N52vEY7f17k,7,N,14.4,3,4,0,3,0,0,0,0,0,0,0,1,2,0,0,1,4,2,0,4.5
19109,N52vEY7f17k,7,G,18.2,5,4,2,3,0,0,0,0,0,0,0,1,2,0,0,1,5,5,0,0
19120,N52vEY7f17k,7,N,29,4,4,0,4,0,0,0,0,1,0,0,0,1,0,0,1,5,3,0,7
19164,N52vEY7f17k,7,G,66,1,0,9,3,1,0,1,0,4,0,0,0,4,2,0.2,0,4,5,0,0
19208,N52vEY7f17k,7,N,7,4,5,2,3,0,0,0,0,0,0,0,0,1,0,0,2,5,4,0,0
19253,N52vEY7f17k,7,N,6.8,4,5,1,4,0,0,0,0,0,0,0,0,1,0,0,1,5,2,0,0
19429,N52vEY7f17k,7,N,3.6,2,3,0,3,1,0,0,0,2,0,0,0,0,1,0,3,5,5,0,0
19524,N52vEY7f17k,7,N,7.6,5,5,3,4,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,12
21276,N52vEY7f17k,7,G,11.6,5,3,1,3,1,0,0,0,1,0,0,1,2,0,0,2,4,5,0,5
21453,N52vEY7f17k,7,G,5.2,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0
21512,N52vEY7f17k,7,N,8.4,3,1,0,2,2,0,1,0,3,0,0,0,1,1,0.2,2,3,5,0,15
21531,N52vEY7f17k,7,N,7.8,3,4,4,3,0,0,0,0,0,0,0,1,1,0,0,0,5,5,0,7.33
21711,N52vEY7f17k,7,N,2.6,0,1,0,3,2,0,2,0,2,1,1,0,0,1,0.4,4,3,5,1,2
23671,N52vEY7f17k,7,G,3.4,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,2
23709,N52vEY7f17k,7,G,15.4,3,0,1,4,3,1,1,0,4,0,0,0,1,1,0.2,1,2,5,0,0
23925,N52vEY7f17k,7,N,9.6,2,2,0,4,1,0,1,0,2,0,0,0,1,0,0.2,2,4,5,0,3
23991,N52vEY7f17k,7,G,16.4,5,2,4,4,2,0,0,0,2,0,0,1,1,0,0,0,3,5,0,2
24041,N52vEY7f17k,7,N,14,0,0,0,3,1,0,2,0,3,0,0,0,2,3,0.4,2,4,5,1,84.2
24079,N52vEY7f17k,7,G,196.6,2,1,2,3,0,0,0,0,4,0,0,0,3,2,0,1,5,5,0,13.75
24105,N52vEY7f17k,7,G,61.2,2,1,1,4,0,0,0,0,4,0,0,0,1,2,0,2,5,5,0,0
24139,N52vEY7f17k,7,G,3.4,3,2,1,4,2,0,0,0,3,0,0,0,0,2,0,4,3,5,0,8.5
24183,N52vEY7f17k,7,G,18,5,5,2,4,0,0,0,0,0,0,0,0,1,0,0,2,5,5,0,0
24220,N52vEY7f17k,7,N,9.6,5,4,1,4,1,0,0,0,1,0,0,0,1,0,0,3,4,5,0,5
24294,N52vEY7f17k,7,N,5.2,3,2,1,4,1,0,0,0,2,0,0,1,1,0,0,3,4,5,0,0
25359,N5ey2xUDZTA,4,G,14.6,5,5,3,4,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,13.75
25454,N5ey2xUDZTA,4,G,6.6,4,3,4,3,1,0,0,0,2,0,0,0,0,0,0,0,4,5,0,38
25542,N5ey2xUDZTA,4,G,22,0,0,0,4,1,0,1,0,4,0,0,0,1,3,0.2,2,4,5,0,23.33
25555,N5ey2xUDZTA,4,G,1.8,0,0,0,2,1,0,2,0,3,0,0,0,0,3,0.4,4,4,5,1,27.5
25571,N5ey2xUDZTA,4,N,10.6,5,5,2,3,0,0,0,0,0,0,0,0,2,0,0,3,5,5,0,3
25600,N5ey2xUDZTA,4,G,31.6,2,2,0,3,1,0,2,0,1,0,0,0,2,1,0.4,1,4,5,1,0
25625,N5ey2xUDZTA,4,N,20,0,0,-1,3,2,0,1,0,4,0,0,0,2,4,0.2,2,3,5,1,0
25648,N5ey2xUDZTA,4,G,80.2,2,3,7,4,0,0,0,0,2,0,0,0,2,2,0,0,5,4,0,9.25
25757,N5ey2xUDZTA,4,G,10.2,1,1,1,3,2,0,1,0,3,0,0,0,1,2,0.2,2,3,5,0,9.67
25897,N5ey2xUDZTA,4,G,29.6,4,4,2,4,0,0,0,0,1,0,0,0,4,0,0,1,5,5,0,5.67
25929,N5ey2xUDZTA,4,N,37.4,5,4,2,4,0,0,1,0,0,0,0,0,2,0,0.2,1,5,5,1,0
25993,N5ey2xUDZTA,4,G,10.2,1,0,0,3,2,0,2,0,3,0,0,0,2,2,0.4,2,3,5,0,0
26938,N5ey2xUDZTA,4,G,10.8,4,4,4,3,0,0,0,0,0,0,0,1,2,0,0,0,5,5,0,6
27039,N5ey2xUDZTA,4,G,8,0,1,0,4,0,0,1,0,2,0,0,1,1,2,0.2,1,5,5,1,16.67
27064,N5ey2xUDZTA,4,N,6.2,4,5,0,3,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,38
27090,N5ey2xUDZTA,4,G,5.4,0,1,1,1,1,0,0,0,1,0,0,3,0,0,0,1,4,5,0,0
27148,N5ey2xUDZTA,4,G,12.8,1,1,3,3,1,0,1,0,3,0,0,0,1,1,0.2,1,4,5,0,31.67
27160,N5ey2xUDZTA,4,G,0.4,5,0,0,3,4,1,0,0,1,0,0,4,0,0,0,5,1,5,0,18
27185,N5ey2xUDZTA,4,N,3.8,3,0,0,4,4,1,0,0,1,0,0,4,1,0,0,4,1,5,0,0.2
27203,N5ey2xUDZTA,4,G,9.2,4,4,1,4,0,0,0,0,0,0,0,1,1,0,0,1,5,3,0,3.8
27242,N5ey2xUDZTA,4,G,31.4,4,4,4,4,0,0,0,0,1,0,0,0,1,0,0,0,5,3,0,0.4
27294,N5ey2xUDZTA,4,G,0.4,5,0,0,3,4,1,0,0,5,0,0,0,0,0,0,5,1,5,0,1.2
27401,N5ey2xUDZTA,4,G,16.6,4,2,0,3,1,0,1,0,2,0,0,0,2,0,0.2,1,4,3,0,8
27515,N5ey2xUDZTA,4,N,4.8,3,5,0,4,1,0,0,0,0,0,0,0,1,0,0,3,5,5,0,0
27539,N5ey2xUDZTA,4,G,26.8,4,5,0,3,0,0,0,0,0,0,0,0,3,0,0,1,5,4,0,0
30718,N5ey2xUDZTA,4,N,4.6,4,3,-1,4,1,0,0,0,0,0,0,2,1,0,0,2,4,5,0,0
30751,N5ey2xUDZTA,4,N,48.6,3,2,3,4,0,0,1,0,1,0,0,1,2,0,0.2,1,5,3,0,0
30773,N5ey2xUDZTA,4,G,4.4,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0
30807,N5ey2xUDZTA,4,N,18.6,5,5,3,3,0,0,0,0,0,0,0,0,3,0,0,1,5,5,0,6
31060,N5ey2xUDZTA,4,G,7.4,5,4,5,3,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,5.33
31082,N5ey2xUDZTA,4,G,15.4,4,4,5,3,0,0,0,0,1,0,0,0,2,0,0,0,5,5,0,0
31126,N5ey2xUDZTA,4,N,5.8,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,1,5,3,0,13
36320,N6W08a98ZQV,10,N,5,4,3,2,3,2,0,0,0,0,0,0,2,0,0,0,3,3,5,0,42
36332,N6W08a98ZQV,10,G,12.2,4,5,4,3,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,3
36579,N6W08a98ZQV,10,G,20.6,4,4,5,4,0,0,0,0,0,0,0,1,2,0,0,0,5,5,0,6
36800,N6W08a98ZQV,10,G,10.8,3,1,5,3,0,0,0,0,2,0,0,2,1,0,0,0,5,5,0,14
36891,N6W08a98ZQV,10,G,13.4,1,1,3,4,0,0,0,0,0,0,0,4,1,0,0,1,5,5,0,13
37311,N6W08a98ZQV,10,G,0.2,5,0,0,4,4,1,0,0,5,0,0,0,0,0,0,5,1,5,0,3.8
38318,N6W08a98ZQV,10,G,4,2,3,0,3,1,0,1,0,1,0,0,0,0,0,0.2,3,4,5,0,0.67
38331,N6W08a98ZQV,10,N,25.2,4,4,3,3,0,0,0,0,1,0,0,0,2,0,0,1,5,5,0,0
38345,N6W08a98ZQV,10,G,7.8,3,3,3,4,0,0,0,0,2,0,0,0,1,1,0,2,4,5,0,55
38395,N6W08a98ZQV,10,N,6.2,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,1,3,5,0,0.5
38688,N6W08a98ZQV,10,N,4.8,3,1,0,4,2,0,0,0,4,0,0,0,1,2,0,3,3,5,0,0.5
38747,N6W08a98ZQV,10,G,11.4,4,3,4,4,1,0,0,0,2,0,0,0,1,0,0,0,4,5,0,1.5
38788,N6W08a98ZQV,10,N,39,2,2,0,4,0,0,1,0,1,0,0,1,1,1,0.2,2,5,5,1,4.67
38810,N6W08a98ZQV,10,N,4,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,2,5,5,0,26
38858,N6W08a98ZQV,10,G,2.8,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,2
38996,N6W08a98ZQV,10,N,22.4,2,1,4,4,0,0,0,0,3,0,0,1,2,2,0,0,5,5,0,0
39076,N6W08a98ZQV,10,G,37.8,5,5,1,4,0,0,0,0,0,0,0,0,1,0,0,2,5,5,0,2.75
39971,N6W08a98ZQV,10,G,6,2,0,0,3,1,0,2,0,3,0,0,0,1,2,0.4,3,3,5,1,175
40308,N8o0mJnIpFH,5,N,6,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0
40796,N8o0mJnIpFH,5,G,17.6,4,4,8,3,0,0,0,0,0,0,0,1,2,0,0,0,5,5,0,8.33
40953,N8o0mJnIpFH,5,N,12.8,3,3,4,4,0,0,0,0,2,0,0,0,1,0,0,0,5,5,0,0
41530,N8o0mJnIpFH,5,N,15.2,4,5,0,4,1,0,0,0,0,0,0,0,1,0,0,1,5,5,0,14
41583,N8o0mJnIpFH,5,N,18.8,4,4,6,4,0,0,0,0,0,0,0,1,1,0,0,0,5,5,0,0
42759,N8o0mJnIpFH,5,G,15.2,5,3,4,3,0,0,1,0,1,0,0,0,2,0,0.2,0,5,5,1,8
42790,N8o0mJnIpFH,5,N,2.2,0,0,0,2,1,0,1,0,4,0,0,0,0,3,0.2,5,4,5,0,22.33
42826,N8o0mJnIpFH,5,N,16.4,5,4,6,3,0,0,0,0,0,0,0,1,2,0,0,0,5,2,0,226
42902,N8o0mJnIpFH,5,G,12.8,3,4,8,3,0,0,0,0,1,0,0,0,2,0,0,0,5,5,0,10
43044,N8o0mJnIpFH,5,N,148.8,2,1,9,3,1,0,0,0,3,0,0,1,3,2,0,0,4,5,0,19
43783,N8o0mJnIpFH,5,N,16.2,5,5,5,3,1,0,0,0,0,0,0,0,2,0,0,0,4,5,0,0
44548,N8rsfNQdio8,1,N,17.2,2,2,0,3,1,0,2,0,0,1,1,1,2,0,0.4,2,4,5,2,8
44675,N8rsfNQdio8,1,N,7.2,3,3,2,4,2,0,0,0,0,0,0,2,1,0,0,1,3,5,0,0
48129,N8rsfNQdio8,1,N,4,1,2,0,1,2,0,1,0,0,0,0,2,0,0,0.2,1,3,5,0,7
48184,N8rsfNQdio8,1,G,47.6,5,5,2,4,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,65
48339,N8rsfNQdio8,1,G,110.2,4,4,7,4,0,0,1,0,0,0,0,0,3,0,0.2,0,5,3,1,5.33
48439,N8rsfNQdio8,1,G,12.6,4,3,2,3,1,0,1,0,0,0,0,1,1,0,0.2,1,4,5,1,0
48494,N8rsfNQdio8,1,N,6.8,4,4,4,3,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,39
52769,N9hs21hUG5O,5,N,12.8,3,3,3,3,0,0,0,0,2,0,0,0,2,1,0,1,5,5,0,0
52832,N9hs21hUG5O,5,N,28.2,4,4,-1,2,0,0,0,0,0,0,0,1,3,0,0,1,5,5,0,0
53043,N9hs21hUG5O,5,G,31.8,1,1,0,3,0,0,1,0,3,0,0,0,2,2,0.2,1,5,5,1,118
53069,N9hs21hUG5O,5,G,39.2,4,3,10,2,0,0,0,0,1,0,0,1,3,0,0,0,5,5,0,17.33
53107,N9hs21hUG5O,5,G,20,4,4,2,3,0,0,0,0,0,0,0,1,2,0,0,1,5,5,0,6.67
53358,N9hs21hUG5O,5,N,3.4,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0
53468,N9hs21hUG5O,5,G,10,4,4,4,4,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,37.5
54325,N9hs21hUG5O,5,G,53.4,4,3,2,3,0,0,0,0,0,0,0,2,3,0,0,1,5,5,0,4
54481,N9hs21hUG5O,5,G,10.6,5,3,3,4,1,0,0,0,1,0,0,1,1,0,0,1,3,5,0,11
54511,N9hs21hUG5O,5,G,15.2,5,5,2,2,0,0,0,0,0,0,0,0,3,0,0,1,5,5,0,9
54522,N9hs21hUG5O,5,N,31.6,2,1,9,3,0,0,0,0,2,0,0,2,3,1,0,0,5,5,0,0
54610,N9hs21hUG5O,5,N,9.8,5,3,2,3,1,0,0,0,1,0,0,1,1,0,0,2,4,5,0,4
54682,N9hs21hUG5O,5,G,5.6,2,0,-1,2,1,0,1,0,4,0,0,0,0,2,0.2,1,4,5,0,0
54695,N9hs21hUG5O,5,G,16,4,2,6,4,1,0,0,0,3,0,0,0,1,0,0,0,4,5,0,7
54752,N9hs21hUG5O,5,G,12.6,5,5,3,3,0,0,0,0,0,0,0,0,2,0,0,2,5,5,0,0
54806,N9hs21hUG5O,5,G,20,5,5,4,4,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,204
54851,N9hs21hUG5O,5,G,7.8,4,2,3,3,2,0,0,0,3,0,0,0,1,0,0,1,3,5,0,6.5
56054,N9hs21hUG5O,5,G,10.2,5,3,3,3,1,0,0,0,1,0,0,1,2,0,0,1,4,5,0,35
56071,N9hs21hUG5O,5,G,4.4,4,0,0,2,1,0,0,0,4,0,0,1,0,1,0,2,3,5,0,14
56130,N9hs21hUG5O,5,N,14.4,2,3,6,3,0,0,0,0,2,0,0,0,2,1,0,0,5,5,0,16.25
56161,N9hs21hUG5O,5,G,89.8,2,2,3,4,0,0,2,0,1,0,0,0,2,1,0.4,1,5,5,2,6.5
56182,N9hs21hUG5O,5,G,6.4,3,0,2,2,4,1,0,0,5,0,0,0,0,2,0,1,1,5,0,4
56443,N9hs21hUG5O,5,G,18,5,5,2,3,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,78.67
56481,N9hs21hUG5O,5,G,13.6,0,0,0,3,1,0,1,0,4,0,0,0,2,3,0.2,1,4,5,0,9.5
56493,N9hs21hUG5O,5,G,7.6,4,1,2,4,3,1,0,0,1,0,0,3,1,0,0,2,2,5,0,17
56525,N9hs21hUG5O,5,G,6.2,2,2,1,2,1,0,0,0,0,0,0,3,0,0,0,1,4,2,0,11.75
56592,N9hs21hUG5O,5,G,21.4,3,2,2,2,1,0,1,0,0,0,0,2,4,0,0.2,1,4,5,1,20.4
56607,N9hs21hUG5O,5,G,7.4,4,2,4,2,0,0,0,0,3,0,0,0,0,1,0,0,5,3,0,17.5
56643,N9hs21hUG5O,5,G,22.6,4,2,1,4,1,0,0,0,2,0,0,1,1,0,0,2,4,4,0,36
56742,N9hs21hUG5O,5,N,94,5,4,3,4,1,0,0,0,0,0,0,1,2,0,0,1,4,5,0,0
56993,N9hs21hUG5O,5,G,46.4,4,3,6,4,0,0,0,0,1,0,0,1,2,0,0,0,5,2,0,39
57162,N9hs21hUG5O,5,G,11,1,1,6,3,0,0,0,0,4,0,0,0,1,2,0,0,5,5,0,0
57220,N9hs21hUG5O,5,G,36.6,4,3,8,4,1,0,0,0,1,0,0,1,3,0,0,0,4,5,0,0
57233,N9hs21hUG5O,5,N,11.8,4,5,0,2,0,0,0,0,0,0,0,0,3,0,0,1,5,3,0,20
57313,N9hs21hUG5O,5,G,20.2,3,2,0,3,1,0,1,0,1,0,0,1,4,0,0.2,1,4,5,0,17
57677,b2W4ZO3uLV,6,N,11.4,4,3,1,2,0,0,1,0,0,0,0,1,2,0,0.2,1,5,5,1,21
57764,b2W4ZO3uLV,6,N,47.4,5,5,3,4,0,0,0,0,0,0,0,0,2,0,0,1,5,3,0,5
57847,b2W4ZO3uLV,6,N,28.2,1,0,0,4,1,0,2,0,3,0,0,0,3,3,0.4,2,4,5,1,0
57899,b2W4ZO3uLV,6,G,0.4,0,0,0,3,4,1,0,0,5,0,0,0,0,5,0,5,1,5,0,40.5
58013,b2W4ZO3uLV,6,N,2.2,3,0,0,2,1,0,1,0,3,0,0,1,0,1,0.2,4,4,5,0,0
58291,b2W4ZO3uLV,6,G,6.4,2,2,4,4,0,0,1,0,2,0,0,0,0,2,0.2,0,5,5,1,0
58933,b2W4ZO3uLV,6,G,6.8,3,4,0,3,1,0,0,0,1,0,0,0,1,0,0,1,4,1,0,5.67
58954,b2W4ZO3uLV,6,N,7.8,2,5,0,4,1,0,0,0,0,0,0,0,1,0,0,3,5,5,0,14
59050,b2W4ZO3uLV,6,N,6.8,3,2,3,3,0,0,3,1,0,0,0,0,1,0,0.6,2,3,5,3,12
59112,b2W4ZO3uLV,6,N,8.6,4,3,6,3,0,0,0,0,2,0,0,0,0,1,0,0,5,3,0,5
59164,b2W4ZO3uLV,6,G,5.4,3,0,0,2,2,0,1,0,3,0,0,1,0,0,0.2,1,3,5,0,72
59211,b2W4ZO3uLV,6,G,5,3,2,1,2,0,0,0,0,1,0,0,2,0,0,0,2,5,2,0,5
59315,b2W4ZO3uLV,6,N,34,2,2,0,3,1,0,0,0,2,0,0,1,4,1,0,1,4,5,0,15.5
59393,b2W4ZO3uLV,6,G,31.2,4,3,3,3,0,0,0,0,1,0,0,1,2,0,0,1,3,5,0,0
