skill,problem_id,user_id,assignment_id,assistment_id,start_time,end_time,problem_type,original,correct,hint_count
Box and Whisker,28916,52456,175269,24734,23:25.0,23:36.7,fill_in_1,1,1,0
Inverse Relations,2213,52456,175315,2213,30:57.1,31:10.4,choose_1,1,1,0
Inverse Relations,882,52456,175315,882,31:19.7,31:28.4,choose_1,1,0,0
Inverse Relations,8718,52456,175315,8718,31:46.4,32:01.2,choose_1,1,0,0
Inverse Relations,4535,52456,175315,4535,32:37.4,32:52.0,choose_1,1,1,0
Inverse Relations,833,52456,175315,833,32:53.6,33:02.3,choose_1,1,0,0
Box and Whisker,51456,52456,218156,33171,32:38.1,33:02.5,algebra,1,0,2
Box and Whisker,51465,52456,218156,33180,33:03.7,34:17.9,algebra,1,1,0
Box and Whisker,51440,52456,218156,33155,34:19.8,35:53.5,algebra,1,0,0
Box and Whisker,51471,52456,218156,33186,35:55.2,35:58.2,algebra,1,1,0
Box and Whisker,51434,52456,218156,33149,35:59.8,36:50.6,algebra,1,1,0
Inverse Relations,4535,52456,175239,4535,43:54.6,44:14.8,choose_1,1,0,0
Box and Whisker,36843,52458,175321,27833,39:59.1,41:19.9,algebra,1,0,0
Box and Whisker,36843,52458,175322,27833,41:41.3,41:50.6,algebra,1,1,0
Box and Whisker,28913,52458,175269,24731,25:33.2,28:58.8,choose_1,1,1,0
Box and Whisker,28916,52458,175269,24734,31:18.6,31:50.7,fill_in_1,1,0,0
Box and Whisker,28915,52458,175269,24733,32:37.7,32:37.0,fill_in_1,1,1,0
Inverse Relations,4535,52458,175315,4535,28:56.5,29:07.2,choose_1,1,0,0
Inverse Relations,2213,52458,175315,2213,29:16.6,29:33.7,choose_1,1,1,0
Inverse Relations,8718,52458,175315,8718,29:35.3,29:46.0,choose_1,1,0,0
Inverse Relations,882,52458,175315,882,30:12.6,30:21.2,choose_1,1,1,0
Inverse Relations,833,52458,175315,833,30:22.6,30:31.2,choose_1,1,0,0
Box and Whisker,51476,52458,218156,33191,40:50.2,41:08.8,algebra,1,1,0
Box and Whisker,51397,52458,218156,33112,41:10.0,41:28.3,algebra,1,1,0
Congruence,34333,52458,175290,26517,33:29.1,33:37.7,choose_1,1,0,0
Congruence,33736,52458,175290,26291,33:38.9,34:07.4,choose_1,1,1,0
Congruence,33746,52458,175290,26292,34:08.7,34:25.2,choose_1,1,1,0
Congruence,33654,52458,175290,26272,34:26.5,34:35.4,choose_1,1,1,0
Box and Whisker,36843,52459,175321,27833,39:46.4,41:15.1,algebra,1,0,0
Box and Whisker,36843,52459,175322,27833,41:28.2,41:51.1,algebra,1,1,0
Box and Whisker,28913,52459,175269,24731,36:24.5,37:31.9,choose_1,1,1,0
Box and Whisker,28916,52459,175269,24734,37:41.6,38:18.0,fill_in_1,1,0,0
Box and Whisker,28915,52459,175269,24733,39:44.6,40:01.5,fill_in_1,1,1,0
Inverse Relations,833,52459,175315,833,31:14.5,31:46.2,choose_1,1,0,0
Inverse Relations,882,52459,175315,882,32:30.0,33:31.8,choose_1,1,0,0
Inverse Relations,8718,52459,175315,8718,33:52.9,34:32.7,choose_1,1,1,0
Inverse Relations,2213,52459,175315,2213,34:34.1,34:41.2,choose_1,1,0,0
Inverse Relations,4535,52459,175315,4535,38:47.2,39:53.2,choose_1,1,0,0
Box and Whisker,51411,52459,218156,33126,21:21.8,21:34.8,algebra,1,1,0
Box and Whisker,51429,52459,218156,33144,21:49.6,22:04.2,algebra,1,1,0
Box and Whisker,36843,52460,175321,27833,22:14.6,22:30.2,algebra,1,1,0
Box and Whisker,36843,52460,175322,27833,33:59.6,34:20.5,algebra,1,1,0
Box and Whisker,28915,52460,175269,24733,42:30.6,43:00.2,fill_in_1,1,1,0
Box and Whisker,28913,52460,175269,24731,43:01.8,44:05.4,choose_1,1,0,0
Box and Whisker,28916,52460,175269,24734,44:56.6,45:12.5,fill_in_1,1,1,0
Inverse Relations,8718,52460,175315,8718,30:09.5,30:38.1,choose_1,1,1,0
Inverse Relations,833,52460,175315,833,30:39.6,31:07.9,choose_1,1,0,0
Inverse Relations,882,52460,175315,882,31:22.1,31:46.5,choose_1,1,0,0
Inverse Relations,2213,52460,175315,2213,31:58.0,33:17.6,choose_1,1,0,0
Inverse Relations,4535,52460,175315,4535,33:57.3,34:09.2,choose_1,1,0,0
Inverse Relations,4535,52460,175239,4535,45:49.7,45:59.4,choose_1,1,0,0
Box and Whisker,36843,52461,175321,27833,40:56.4,41:41.0,algebra,1,0,0
Box and Whisker,36843,52461,175322,27833,42:49.1,44:01.7,algebra,1,1,0
Box and Whisker,28913,52461,175269,24731,20:54.5,22:13.5,choose_1,1,0,0
Box and Whisker,28916,52461,175269,24734,23:03.6,23:24.3,fill_in_1,1,1,0
Box and Whisker,28915,52461,175269,24733,23:48.0,24:03.6,fill_in_1,1,1,0
Inverse Relations,8718,52461,175315,8718,21:00.2,21:02.6,choose_1,1,0,0
Inverse Relations,882,52461,175315,882,22:16.8,22:35.9,choose_1,1,1,0
Inverse Relations,2213,52461,175315,2213,22:37.3,22:55.0,choose_1,1,0,0
Inverse Relations,4535,52461,175315,4535,23:22.9,23:34.7,choose_1,1,0,0
Inverse Relations,833,52461,175315,833,23:58.6,24:21.2,choose_1,1,1,0
Congruence,34333,52461,175290,26517,37:04.8,37:20.3,choose_1,1,0,0
Congruence,33736,52461,175290,26291,37:21.7,37:43.7,choose_1,1,1,0
Congruence,33746,52461,175290,26292,37:44.9,38:32.2,choose_1,1,1,0
Congruence,33654,52461,175290,26272,38:37.7,38:58.3,choose_1,1,1,0
Box and Whisker,36843,52462,175321,27833,35:31.1,37:14.5,algebra,1,0,0
Box and Whisker,36843,52462,175322,27833,20:52.2,21:13.8,algebra,1,1,0
Congruence,1263,52462,175203,1263,41:46.8,42:40.5,algebra,1,0,0
Box and Whisker,28915,52462,175269,24733,27:27.1,27:37.9,fill_in_1,1,1,0
Box and Whisker,28913,52462,175269,24731,27:39.7,28:04.8,choose_1,1,1,0
Box and Whisker,28916,52462,175269,24734,28:06.2,28:09.9,fill_in_1,1,1,0
Inverse Relations,2213,52462,175315,2213,24:08.3,24:19.1,choose_1,1,1,0
Inverse Relations,882,52462,175315,882,24:12.1,24:29.2,choose_1,1,1,0
Inverse Relations,8718,52462,175315,8718,24:30.6,24:42.5,choose_1,1,1,0
Inverse Relations,4535,52462,175315,4535,24:44.1,24:51.9,choose_1,1,1,0
Inverse Relations,833,52462,175315,833,24:52.9,24:59.5,choose_1,1,1,0
Box and Whisker,51417,52462,218156,33132,01:04.0,01:22.8,algebra,1,1,0
Box and Whisker,51434,52462,218156,33149,01:18.7,01:32.7,algebra,1,1,0
Congruence,4468,52462,175243,4468,40:56.4,41:46.8,algebra,1,1,0
Box and Whisker,36843,52463,175321,27833,33:53.8,34:40.5,algebra,1,1,0
Box and Whisker,36843,52463,175322,27833,32:04.4,32:37.9,algebra,1,1,0
Box and Whisker,28916,52463,175269,24734,21:31.4,22:39.3,fill_in_1,1,0,0
Box and Whisker,28913,52463,175269,24731,24:14.7,26:53.9,choose_1,1,0,0
Box and Whisker,28915,52463,175269,24733,27:03.7,27:11.6,fill_in_1,1,1,0
Inverse Relations,833,52463,175315,833,27:16.1,27:41.4,choose_1,1,0,0
Inverse Relations,2213,52463,175315,2213,28:44.5,29:20.9,choose_1,1,0,0
Inverse Relations,882,52463,175315,882,29:50.4,29:57.7,choose_1,1,0,0
Inverse Relations,4535,52463,175315,4535,30:31.5,30:38.5,choose_1,1,1,0
Inverse Relations,8718,52463,175315,8718,30:48.5,31:26.2,choose_1,1,1,0
Box and Whisker,36843,52464,175321,27833,42:03.8,42:48.4,algebra,1,1,0
Box and Whisker,28916,52464,175269,24734,21:26.7,21:49.3,fill_in_1,1,0,0
Box and Whisker,28913,52464,175269,24731,22:36.3,23:28.0,choose_1,1,1,0
Box and Whisker,28915,52464,175269,24733,23:29.8,23:38.4,fill_in_1,1,1,0
Box and Whisker,36843,52464,175322,27833,48:24.0,48:30.6,algebra,1,1,0
Inverse Relations,833,52464,175315,833,23:30.6,23:58.8,choose_1,1,1,0
Inverse Relations,882,52464,175315,882,23:51.6,24:05.3,choose_1,1,1,0
Inverse Relations,8718,52464,175315,8718,24:15.2,24:37.1,choose_1,1,1,0
Inverse Relations,4535,52464,175315,4535,24:30.3,24:50.4,choose_1,1,1,0
Inverse Relations,2213,52464,175315,2213,24:52.0,25:05.0,choose_1,1,0,0
Inverse Relations,4535,52464,175239,4535,45:48.9,46:02.9,choose_1,1,1,0
Congruence,34333,52464,175290,26517,33:52.6,34:06.3,choose_1,1,0,0
Congruence,33736,52464,175290,26291,34:10.6,34:20.7,choose_1,1,1,0
Congruence,33746,52464,175290,26292,34:22.0,34:35.9,choose_1,1,0,0
Congruence,33654,52464,175290,26272,34:55.8,35:06.3,choose_1,1,1,0
Box and Whisker,36843,52465,175321,27833,41:43.6,44:14.1,algebra,1,0,0
Box and Whisker,36843,52465,175322,27833,46:53.5,47:14.2,algebra,1,1,0
Inverse Relations,833,52465,175315,833,40:49.6,42:02.0,choose_1,1,0,0
Inverse Relations,8718,52465,175315,8718,43:03.9,43:52.3,choose_1,1,1,0
Inverse Relations,4535,52465,175315,4535,43:46.6,44:20.3,choose_1,1,1,0
Inverse Relations,2213,52465,175315,2213,44:21.8,45:50.1,choose_1,1,1,0
Inverse Relations,882,52465,175315,882,46:08.8,46:19.5,choose_1,1,1,0
Box and Whisker,36843,52466,175321,27833,32:39.9,33:27.7,algebra,1,0,0
Box and Whisker,28915,52466,175269,24733,56:00.9,56:13.5,fill_in_1,1,1,0
Box and Whisker,28913,52466,175269,24731,56:16.0,56:28.7,choose_1,1,1,0
Box and Whisker,28916,52466,175269,24734,57:11.2,58:08.1,fill_in_1,1,0,4
Inverse Relations,4535,52466,175315,4535,32:26.9,32:53.9,choose_1,1,0,0
Inverse Relations,882,52466,175315,882,33:49.6,34:10.3,choose_1,1,1,0
Inverse Relations,833,52466,175315,833,34:11.8,34:38.4,choose_1,1,1,0
Inverse Relations,8718,52466,175315,8718,34:39.8,35:23.9,choose_1,1,0,0
Inverse Relations,2213,52466,175315,2213,35:17.8,36:18.4,choose_1,1,0,0
Inverse Relations,4535,52466,175238,4535,50:45.0,58:27.4,choose_1,1,1,0
Congruence,34333,52466,175290,26517,38:01.9,38:23.7,choose_1,1,0,0
Congruence,33736,52466,175290,26291,38:25.9,38:56.8,choose_1,1,0,0
Congruence,33746,52466,175290,26292,39:32.4,40:14.1,choose_1,1,0,0
Congruence,33654,52466,175290,26272,41:34.0,41:46.3,choose_1,1,1,0
Box and Whisker,36843,52467,175321,27833,39:39.4,42:37.3,algebra,1,0,0
Box and Whisker,36843,52467,175322,27833,19:00.1,20:08.5,algebra,1,1,0
Inverse Relations,4535,52467,175315,4535,29:01.5,29:12.6,choose_1,1,0,0
Inverse Relations,8718,52467,175315,8718,29:37.5,30:29.0,choose_1,1,0,0
Inverse Relations,833,52467,175315,833,32:04.0,32:34.8,choose_1,1,0,0
Inverse Relations,882,52467,175315,882,33:18.2,33:20.3,choose_1,1,1,0
Inverse Relations,2213,52467,175315,2213,33:30.4,34:22.4,choose_1,1,0,0
Inverse Relations,4535,52467,175239,4535,57:45.1,58:02.5,choose_1,1,0,0
Congruence,34333,52467,175290,26517,35:49.8,36:02.3,choose_1,1,0,0
Congruence,33736,52467,175290,26291,36:05.5,36:39.5,choose_1,1,1,0
Congruence,33746,52467,175290,26292,36:39.7,37:16.0,choose_1,1,0,0
Congruence,33654,52467,175290,26272,38:19.2,38:26.5,choose_1,1,1,0
Box and Whisker,36843,52469,175321,27833,39:39.5,40:42.0,algebra,1,0,0
Box and Whisker,36843,52469,175322,27833,27:31.0,31:11.0,algebra,1,0,3
Inverse Relations,4535,52469,175239,4535,32:37.2,33:00.4,choose_1,1,0,0
Box and Whisker,36843,52470,176528,27833,29:57.6,33:56.1,algebra,1,0,0
Box and Whisker,36843,52470,175322,27833,27:22.0,28:06.9,algebra,1,0,3
Inverse Relations,4535,52470,175315,4535,42:09.2,42:55.5,choose_1,1,0,0
Inverse Relations,833,52470,175315,833,43:36.3,44:17.2,choose_1,1,1,0
Inverse Relations,8718,52470,175315,8718,44:18.5,44:50.0,choose_1,1,1,0
Inverse Relations,882,52470,175315,882,44:50.4,44:53.2,choose_1,1,0,0
Inverse Relations,2213,52470,175315,2213,45:44.4,46:40.8,choose_1,1,0,0
Inverse Relations,4535,52470,175239,4535,48:21.5,48:30.9,choose_1,1,0,0
Box and Whisker,36843,52472,176528,27833,43:53.0,44:18.8,algebra,1,0,0
Box and Whisker,36843,52472,175321,27833,38:55.5,40:04.0,algebra,1,0,0
Congruence,1263,52472,175303,1263,27:50.8,30:34.7,algebra,1,0,0
Box and Whisker,36843,52472,175322,27833,35:50.8,36:57.5,algebra,1,0,3
Inverse Relations,882,52472,175315,882,42:18.3,43:23.8,choose_1,1,1,0
Inverse Relations,833,52472,175315,833,43:25.6,43:35.7,choose_1,1,0,0
Inverse Relations,8718,52472,175315,8718,44:43.2,45:05.0,choose_1,1,0,0
Inverse Relations,2213,52472,175315,2213,45:53.9,46:30.8,choose_1,1,0,0
Inverse Relations,4535,52472,175315,4535,47:07.6,47:28.8,choose_1,1,0,0
Box and Whisker,36843,52474,175322,27833,44:33.4,44:40.0,algebra,1,1,0
Inverse Relations,8718,52474,175315,8718,32:59.4,33:15.4,choose_1,1,0,0
Inverse Relations,4535,52474,175315,4535,33:42.1,34:03.5,choose_1,1,0,0
Inverse Relations,882,52474,175315,882,35:18.5,35:24.8,choose_1,1,0,0
Inverse Relations,833,52474,175315,833,35:46.2,35:52.6,choose_1,1,1,0
Inverse Relations,2213,52474,175315,2213,35:53.9,36:29.3,choose_1,1,1,0
Inverse Relations,4535,52474,175239,4535,30:39.3,30:48.3,choose_1,1,0,0
Congruence,34333,52474,175290,26517,38:13.2,39:17.5,choose_1,1,0,0
Congruence,33736,52474,175290,26291,39:20.1,39:29.8,choose_1,1,0,0
Congruence,33746,52474,175290,26292,39:44.3,40:35.8,choose_1,1,0,0
Congruence,33654,52474,175290,26272,40:49.8,40:55.4,choose_1,1,0,0
Box and Whisker,36843,52476,175321,27833,21:50.8,23:35.3,algebra,1,0,0
Box and Whisker,36843,52476,175322,27833,33:19.7,42:28.6,algebra,1,0,0
Box and Whisker,36843,52478,176528,27833,34:14.9,35:50.5,algebra,1,0,0
Box and Whisker,36843,52478,176529,27833,04:34.0,04:47.8,algebra,1,1,0
Congruence,4468,52478,176419,4468,34:35.8,37:42.1,algebra,1,1,0
Congruence,4468,52478,176421,4468,54:18.6,56:45.0,algebra,1,0,0
Box and Whisker,36843,52479,176528,27833,37:00.7,37:18.4,algebra,1,1,0
Congruence,4468,52479,176419,4468,19:39.6,22:59.3,algebra,1,0,0
Box and Whisker,36843,52480,175321,27833,35:57.8,42:28.3,algebra,1,0,0
Box and Whisker,36843,52480,175322,27833,16:34.4,19:00.6,algebra,1,0,1
Box and Whisker,28916,52480,175269,24734,22:42.1,24:56.6,fill_in_1,1,1,0
Box and Whisker,28913,52480,175269,24731,27:08.6,28:33.5,choose_1,1,0,0
Box and Whisker,28915,52480,175269,24733,28:43.1,29:09.9,fill_in_1,1,1,0
Inverse Relations,833,52480,175315,833,24:16.8,25:16.3,choose_1,1,0,0
Inverse Relations,882,52480,175315,882,26:32.4,27:35.2,choose_1,1,1,0
Inverse Relations,8718,52480,175315,8718,27:38.1,30:08.3,choose_1,1,0,0
Inverse Relations,4535,52480,175315,4535,30:57.7,32:18.4,choose_1,1,0,0
Inverse Relations,2213,52480,175315,2213,33:18.1,33:58.5,choose_1,1,0,0
Box and Whisker,36843,52483,175321,27833,55:05.8,57:03.3,algebra,1,1,0
Box and Whisker,36843,52483,175322,27833,10:56.2,11:41.8,algebra,1,1,0
Inverse Relations,8718,52483,175315,8718,24:47.2,25:21.0,choose_1,1,1,0
Inverse Relations,4535,52483,175315,4535,25:22.6,25:31.0,choose_1,1,0,0
Inverse Relations,833,52483,175315,833,26:03.2,27:00.2,choose_1,1,0,0
Inverse Relations,882,52483,175315,882,28:04.7,28:10.3,choose_1,1,0,0
Inverse Relations,2213,52483,175315,2213,28:32.3,28:43.0,choose_1,1,1,0
Box and Whisker,51476,52483,218156,33191,39:17.0,42:50.8,algebra,1,1,0
Box and Whisker,51397,52483,218156,33112,42:54.6,43:03.1,algebra,1,1,0
Congruence,34333,52483,175290,26517,57:21.2,57:37.5,choose_1,1,0,0
Congruence,33736,52483,175290,26291,57:38.9,58:06.2,choose_1,1,0,0
Congruence,33746,52483,175290,26292,58:41.8,00:03.0,choose_1,1,0,0
Congruence,33654,52483,175290,26272,00:39.8,00:45.1,choose_1,1,1,0
Inverse Relations,2213,52483,175244,2213,24:14.3,24:35.1,choose_1,1,1,0
Inverse Relations,833,52483,175244,833,24:36.7,25:01.5,choose_1,1,0,0
Box and Whisker,36843,52484,175321,27833,18:33.4,19:18.5,algebra,1,0,0
Box and Whisker,36843,52484,175322,27833,23:47.8,24:03.3,algebra,1,1,0
Inverse Relations,8718,52484,175315,8718,26:53.7,27:58.4,choose_1,1,1,0
Inverse Relations,2213,52484,175315,2213,28:00.2,28:26.8,choose_1,1,0,0
Inverse Relations,4535,52484,175315,4535,29:08.2,29:18.8,choose_1,1,0,0
Inverse Relations,833,52484,175315,833,30:15.4,30:22.9,choose_1,1,1,0
Inverse Relations,882,52484,175315,882,30:30.4,31:06.9,choose_1,1,1,0
Congruence,34333,52484,175290,26517,06:38.7,06:52.3,choose_1,1,0,0
Congruence,33736,52484,175290,26291,06:56.5,07:06.0,choose_1,1,0,0
Congruence,33746,52484,175290,26292,07:57.0,08:37.3,choose_1,1,1,0
Congruence,33654,52484,175290,26272,08:37.8,09:06.3,choose_1,1,1,0
Inverse Relations,2213,52484,175244,2213,24:27.5,24:55.1,choose_1,1,0,0
Inverse Relations,833,52484,175244,833,25:51.8,26:22.7,choose_1,1,1,0
Box and Whisker,36843,52485,175321,27833,49:35.5,52:14.1,algebra,1,0,0
Congruence,34333,52485,175290,26517,16:28.9,45:15.9,choose_1,1,0,0
Box and Whisker,36843,52485,175322,27833,34:35.5,34:46.3,algebra,1,1,0
Inverse Relations,8718,52485,175315,8718,35:53.0,36:04.5,choose_1,1,1,0
Inverse Relations,4535,52485,175315,4535,36:00.7,36:27.4,choose_1,1,0,0
Inverse Relations,833,52485,175315,833,36:51.7,37:09.6,choose_1,1,0,0
Inverse Relations,882,52485,175315,882,38:09.4,38:25.5,choose_1,1,0,0
Inverse Relations,2213,52485,175315,2213,38:57.2,39:32.8,choose_1,1,1,0
Box and Whisker,51417,52485,218156,33132,30:43.6,30:53.9,algebra,1,1,0
Box and Whisker,51452,52485,218156,33167,31:01.1,31:16.3,algebra,1,1,0
Congruence,33736,52485,175290,26291,45:25.4,45:41.3,choose_1,1,1,0
Congruence,33746,52485,175290,26292,45:42.9,46:11.5,choose_1,1,1,0
Congruence,33654,52485,175290,26272,46:04.5,46:16.1,choose_1,1,1,0
Inverse Relations,2213,52485,175244,2213,22:55.8,23:08.8,choose_1,1,0,0
Inverse Relations,833,52485,175244,833,23:32.2,24:19.3,choose_1,1,0,0
Box and Whisker,36843,52486,175321,27833,57:28.3,58:09.0,algebra,1,0,0
Inverse Relations,2213,52486,175315,2213,37:34.7,37:48.3,choose_1,1,1,0
Inverse Relations,882,52486,175315,882,37:49.8,38:01.0,choose_1,1,0,0
Inverse Relations,8718,52486,175315,8718,38:19.3,39:18.8,choose_1,1,1,0
Inverse Relations,833,52486,175315,833,39:13.5,39:28.0,choose_1,1,0,0
Inverse Relations,4535,52486,175315,4535,39:44.4,40:00.7,choose_1,1,0,0
Box and Whisker,51480,52486,218156,33195,47:01.3,47:14.6,algebra,1,1,0
Box and Whisker,51410,52486,218156,33125,47:13.2,48:48.1,algebra,1,1,0
Congruence,34333,52486,175290,26517,48:19.5,48:32.8,choose_1,1,0,0
Congruence,33736,52486,175290,26291,48:54.1,50:43.7,choose_1,1,0,0
Congruence,33746,52486,175290,26292,51:24.9,51:59.0,choose_1,1,1,0
Congruence,33654,52486,175290,26272,52:00.3,52:21.2,choose_1,1,1,0
Inverse Relations,4535,52486,175238,4535,37:51.6,38:01.0,choose_1,1,0,0
Inverse Relations,4535,52486,175239,4535,51:49.5,51:59.9,choose_1,1,1,0
Inverse Relations,882,52486,175244,882,22:29.6,22:48.5,choose_1,1,0,0
Inverse Relations,833,52486,175244,833,23:07.2,23:27.8,choose_1,1,1,0
Inverse Relations,2213,52486,175244,2213,32:51.9,33:02.1,choose_1,1,1,0
Box and Whisker,36843,52487,175321,27833,57:30.1,58:09.5,algebra,1,0,0
Box and Whisker,51475,52487,218156,33190,47:54.3,48:13.6,algebra,1,1,0
Box and Whisker,51403,52487,218156,33118,48:17.1,48:21.9,algebra,1,1,0
Inverse Relations,2213,52487,175244,2213,24:51.6,25:20.6,choose_1,1,0,0
Inverse Relations,833,52487,175244,833,25:52.0,26:09.4,choose_1,1,1,0
Box and Whisker,36843,52488,175321,27833,38:49.2,38:52.0,algebra,1,0,0
Inverse Relations,833,52488,175315,833,23:42.6,24:23.6,choose_1,1,0,0
Inverse Relations,4535,52488,175315,4535,25:00.7,25:34.4,choose_1,1,1,0
Inverse Relations,2213,52488,175315,2213,25:36.4,26:01.0,choose_1,1,1,0
Inverse Relations,882,52488,175315,882,26:02.3,26:51.1,choose_1,1,0,0
Inverse Relations,8718,52488,175315,8718,27:09.7,27:34.3,choose_1,1,0,0
Congruence,34333,52488,175290,26517,47:22.8,48:30.2,choose_1,1,0,0
Congruence,33736,52488,175290,26291,48:44.2,49:05.8,choose_1,1,0,0
Congruence,33746,52488,175290,26292,50:02.5,51:28.5,choose_1,1,1,0
Congruence,33654,52488,175290,26272,51:36.5,51:46.7,choose_1,1,1,0
Inverse Relations,882,52488,175244,882,44:05.9,45:20.9,choose_1,1,0,0
Inverse Relations,833,52488,175244,833,45:35.5,45:54.9,choose_1,1,1,0
Inverse Relations,2213,52488,175244,2213,52:30.5,53:01.8,choose_1,1,1,0
Box and Whisker,36843,52489,175321,27833,57:29.1,58:02.5,algebra,1,0,0
Box and Whisker,36843,52489,175322,27833,17:54.5,18:18.2,algebra,1,1,0
Inverse Relations,2213,52489,175244,2213,25:03.1,25:23.7,choose_1,1,0,0
Inverse Relations,882,52489,175315,882,22:04.7,22:30.4,choose_1,1,0,0
Inverse Relations,833,52489,175315,833,22:59.5,23:05.6,choose_1,1,0,0
Inverse Relations,2213,52489,175315,2213,23:21.3,24:42.2,choose_1,1,1,0
Inverse Relations,8718,52489,175315,8718,24:48.7,25:01.0,choose_1,1,0,0
Inverse Relations,4535,52489,175315,4535,25:21.6,25:38.2,choose_1,1,1,0
Box and Whisker,51393,52489,218156,33108,44:05.2,44:37.7,algebra,1,1,0
Box and Whisker,51424,52489,218156,33139,44:39.0,44:38.6,algebra,1,1,0
Congruence,34333,52489,175290,26517,55:57.7,56:05.9,choose_1,1,0,0
Congruence,33736,52489,175290,26291,56:07.2,56:45.8,choose_1,1,0,0
Congruence,33746,52489,175290,26292,57:01.4,57:34.9,choose_1,1,1,0
Congruence,33654,52489,175290,26272,57:36.4,57:43.0,choose_1,1,0,0
Inverse Relations,833,52489,175244,833,49:54.6,50:46.2,choose_1,1,0,0
Box and Whisker,36843,52490,175321,27833,26:33.7,26:38.6,algebra,1,0,0
Box and Whisker,51402,52490,218156,33117,43:36.9,43:41.5,algebra,1,1,0
Box and Whisker,51479,52490,218156,33194,43:48.4,43:57.7,algebra,1,1,0
Inverse Relations,2213,52490,175244,2213,46:38.7,46:54.6,choose_1,1,0,0
Inverse Relations,833,52490,175244,833,47:33.0,48:21.7,choose_1,1,0,0
Box and Whisker,36843,52491,175321,27833,59:17.0,00:32.8,algebra,1,0,0
Box and Whisker,36843,52491,175322,27833,13:46.6,14:21.3,algebra,1,1,0
Inverse Relations,882,52491,175315,882,11:19.4,20:04.3,choose_1,1,1,0
Inverse Relations,4535,52491,175315,4535,20:05.7,20:13.1,choose_1,1,1,0
Inverse Relations,8718,52491,175315,8718,20:15.5,20:21.8,choose_1,1,1,0
Inverse Relations,2213,52491,175315,2213,20:23.3,20:36.9,choose_1,1,1,0
Inverse Relations,833,52491,175315,833,20:45.5,20:57.9,choose_1,1,0,0
Box and Whisker,51481,52491,218156,33196,34:37.7,34:58.1,algebra,1,1,0
Box and Whisker,51473,52491,218156,33188,35:01.0,39:02.3,algebra,1,0,0
Box and Whisker,51443,52491,218156,33158,39:04.7,41:27.2,algebra,1,0,0
Box and Whisker,51451,52491,218156,33166,41:34.4,42:46.8,algebra,1,1,0
Box and Whisker,51428,52491,218156,33143,42:49.3,42:57.8,algebra,1,1,0
